source,target,type,value,Blue Demand,42.1
Blue Hydrogen,Hydrogen_Generation,Blue Hydrogen,45.6,Green Demand,5.1
Green Hydrogen,Hydrogen_Generation,Green Hydrogen,20.1,Blue Prod,45.6
Hydrogen_Generation,Industry,Blue Hydrogen,27.2,Green Prod,20.1
Hydrogen_Generation,Industry,Green Hydrogen,3.1,Green Diff,15
Hydrogen_Generation,Transportation,Blue Hydrogen,0.7,Blue Diff,3.5
Hydrogen_Generation,Transportation,Green Hydrogen,0.1,,
Hydrogen_Generation,Power,Blue Hydrogen,8.8,,
Hydrogen_Generation,Power,Green Hydrogen,1.6,,
Hydrogen_Generation,Heating,Blue Hydrogen,5.4,,
Hydrogen_Generation,Heating,Green Hydrogen,0.3,,
Hydrogen_Generation,Excess,Blue Hydrogen,15,,
Hydrogen_Generation,Excess,Green Hydrogen,3.5,,
